eid 	 entity name 	 euri
57	Najmadin_Shukr_Rauf	http://dbpedia.org/resource/Najmadin_Shukr_Rauf
58	Storme_Warren	http://dbpedia.org/resource/Storme_Warren
6	E._K._Mawlong	http://dbpedia.org/resource/E._K._Mawlong
61	1960_Glover_Trophy	http://dbpedia.org/resource/1960_Glover_Trophy
62	1967_Italian_Grand_Prix	http://dbpedia.org/resource/1967_Italian_Grand_Prix
64	2008_Copa_del_Rey_Final	http://dbpedia.org/resource/2008_Copa_del_Rey_Final
65	2010_Belgian_Super_Cup	http://dbpedia.org/resource/2010_Belgian_Super_Cup
66	2013_Slovak_Cup_Final	http://dbpedia.org/resource/2013_Slovak_Cup_Final
68	Battle_of_Cepeda_(1820)	http://dbpedia.org/resource/Battle_of_Cepeda_(1820)
69	Battle_on_the_Elster	http://dbpedia.org/resource/Battle_on_the_Elster
7	Finn_Schiander	http://dbpedia.org/resource/Finn_Schiander
70	Operation_Hump	http://dbpedia.org/resource/Operation_Hump
71	Darreh_Dang	http://dbpedia.org/resource/Darreh_Dang
72	Jalalia,_Khyber_Pakhtunkhwa	http://dbpedia.org/resource/Jalalia,_Khyber_Pakhtunkhwa
73	Kings_Ripton	http://dbpedia.org/resource/Kings_Ripton
74	Kotumachagi	http://dbpedia.org/resource/Kotumachagi
75	Muławki	http://dbpedia.org/resource/Muławki
76	Pinnacle_Mountain_(South_Carolina)	http://dbpedia.org/resource/Pinnacle_Mountain_(South_Carolina)
77	Saint-Raphaël,_Var	http://dbpedia.org/resource/Saint-Raphaël,_Var
78	Sauxillanges	http://dbpedia.org/resource/Sauxillanges
79	Stara_Bučka	http://dbpedia.org/resource/Stara_Bučka
8	Hagar_Wilde	http://dbpedia.org/resource/Hagar_Wilde
80	Zarudcze	http://dbpedia.org/resource/Zarudcze
81	Amphisbaena_ridleyi	http://dbpedia.org/resource/Amphisbaena_ridleyi
82	Balanites	http://dbpedia.org/resource/Balanites
83	Bryotropha_plantariella	http://dbpedia.org/resource/Bryotropha_plantariella
84	Hilarographa_excellens	http://dbpedia.org/resource/Hilarographa_excellens
85	Inverted_repeat-lacking_clade	http://dbpedia.org/resource/Inverted_repeat-lacking_clade
86	Melaleuca_sheathiana	http://dbpedia.org/resource/Melaleuca_sheathiana
87	Pseudanos_trimaculatus	http://dbpedia.org/resource/Pseudanos_trimaculatus
88	Stemonoporus_laevifolius	http://dbpedia.org/resource/Stemonoporus_laevifolius
89	Thaia_saprophytica	http://dbpedia.org/resource/Thaia_saprophytica
90	Trichoscypha_cavalliensis	http://dbpedia.org/resource/Trichoscypha_cavalliensis
91	392_(album)	http://dbpedia.org/resource/392_(album)
92	Drama_City	http://dbpedia.org/resource/Drama_City
93	If_(Glasvegas_song)	http://dbpedia.org/resource/If_(Glasvegas_song)
94	Intensive_Care_Medicine_(journal)	http://dbpedia.org/resource/Intensive_Care_Medicine_(journal)
95	It's_Still_Rock_and_Roll_to_Me	http://dbpedia.org/resource/It's_Still_Rock_and_Roll_to_Me
96	Politiken	http://dbpedia.org/resource/Politiken
97	Rebel_Love_Song	http://dbpedia.org/resource/Rebel_Love_Song
98	Terrorist_Threats	http://dbpedia.org/resource/Terrorist_Threats
99	Time_(Dave_Clark_album)	http://dbpedia.org/resource/Time_(Dave_Clark_album)
